MARID,LATITUDE,LONGITUDE,MAR_SCORE,TOTAL_BICYCLES,TOTAL_PEDESTRIANS
45923,38.924509,-76.969048,200,0,0
273445,38.913685,-77.066663,200,0,1
806690,38.91335,-77.050517,86.38999939,0,0
294513,38.922173,-77.028471,200,0,0
303204,38.892214,-77.060195,200,0,0
307795,38.901471,-77.036203,200,0,0
232890,38.929052,-77.023274,200,0,0
245269,38.971625,-77.011623,200,0,0
20391,38.944449,-77.00366,200,0,0
298225,38.829204,-76.992767,200,0,0
232259,38.933735,-77.024182,200,0,0
279239,38.901213,-77.037257,200,0,0
222753,38.943377,-77.074606,200,0,0
3308,38.966321,-77.003256,200,0,0
287346,38.909226,-77.003491,200,0,0
806925,38.946125,-77.030462,100,0,0
223654,38.939839,-77.026433,200,0,1
76398,38.90294,-77.002039,200,0,0
311850,38.876498,-76.991534,200,0,0
803015,38.883196,-76.941366,100,0,0
239959,38.918113,-77.031952,200,0,0
242384,38.898326,-77.049205,200,0,0
309836,38.91707,-76.964115,200,0,0
262634,38.927332,-77.07162,200,0,1
242705,38.907797,-77.04489,200,0,0
82048,38.901709,-76.992643,200,0,0
43213,38.926537,-77.008574,200,0,0
286273,38.909662,-77.004978,200,0,0
264052,38.962079,-77.073945,200,0,0
226327,38.933391,-77.044185,200,0,0
311031,38.873586,-76.970981,200,0,0
242495,38.901145,-77.047515,100,0,0
243576,38.952082,-77.012597,100,0,0
57987,38.88688,-76.980716,200,0,0
273801,38.902569,-77.060307,200,0,0
253299,38.967535,-77.027477,200,0,0
905770,38.896017,-77.048023,100,0,0
288159,38.901265,-76.940914,88,0,0
278798,38.90336,-77.058211,200,0,0
34213,38.893123,-76.954818,200,0,0
43213,38.926588,-77.009095,200,0,0
236704,38.925875,-77.050624,200,0,0
311775,38.866095,-77.016932,200,0,0
51509,38.919708,-76.970517,200,0,0
23109,38.872902,-76.935995,200,0,0
309447,38.844392,-77.007581,200,0,0
257960,38.966171,-77.036062,200,0,0
289318,38.904768,-77.015934,200,0,0
254167,38.966538,-77.027567,200,0,0
303262,38.897062,-77.007107,200,0,0
300945,38.909643,-77.045136,200,0,0
297583,38.883029,-77.031084,200,0,0
76057,38.909694,-77.008377,200,0,0
63693,38.858613,-76.987793,200,0,0
314066,38.905679,-77.046911,200,0,0
3698,38.964946,-77.002106,100,0,0
285964,38.920759,-76.98959,200,0,0
304191,38.899812,-77.015155,200,0,0
311031,38.873464,-76.970648,200,0,0
50358,38.919734,-76.974609,200,0,0
35557,38.88363,-76.957682,200,0,0
310474,38.905254,-77.055772,85.84999847,0,0
7495,38.957749,-77.008457,200,0,0
311497,38.899763,-77.026422,200,0,0
46073,38.862337,-76.997745,200,0,0
218695,38.915753,-77.020652,200,0,0
304142,38.8781,-76.993367,200,0,0
12357,38.925585,-76.998581,200,0,0
56070,38.899053,-76.97735,200,0,0
76021,38.889496,-76.953287,200,0,0
242632,38.911127,-77.045425,88,0,0
312522,38.875733,-76.991909,200,0,0
235696,38.923298,-77.040385,200,0,0
147082,38.820308,-77.009796,200,0,0
291809,38.850332,-76.995931,200,0,1
